"id","alias","valid_from_date","valid_to_date","nameset_id","hierarchy_name_id","admin_level","alias_dot_name","last_upddate","last_userid","message","parent_id"
NA,"kpakhtunkhwa",NA,NA,9,243412,1,"asia:pakistan:kpakhtunkhwa",NA,"skroiss",NA,-999999
NA,"arewa",NA,NA,9,317213,2,"africa:nigeria:kebbi:arewa",NA,"kmccarthy",NA,288963
NA,"briniwa",NA,NA,9,317103,2,"africa:nigeria:jigawa:briniwa",NA,"kmccarthy",NA,288986
NA,"ayedade",NA,NA,9,317355,2,"africa:nigeria:osun:ayedade",NA,"kmccarthy",NA,288992
NA,"malam madori",NA,NA,9,317079,2,"africa:nigeria:jigawa:malam madori",NA,"kmccarthy",NA,288986
NA,"ayedire",NA,NA,9,317349,2,"africa:nigeria:osun:ayedire",NA,"kmccarthy",NA,288992
NA,"nassarawa",NA,NA,9,317285,2,"africa:nigeria:nassarawa:nassarawa",NA,"kmccarthy",NA,288975
NA,"fct abuja",NA,NA,9,288925,1,"africa:nigeria:fct abuja",NA,"kmccarthy",NA,288513
NA,"yewa south",NA,NA,9,317329,2,"africa:nigeria:ogun:yewa south",NA,"kmccarthy",NA,288995
NA,"yewa north",NA,NA,9,317323,2,"africa:nigeria:ogun:yewa north",NA,"kmccarthy",NA,288995
NA,"buu",NA,NA,9,288542,0,"africa:buu",NA,"kmccarthy",NA,288488
NA,"les",NA,NA,9,288646,0,"africa:les",NA,"kmccarthy",NA,288488
NA,"rwa",NA,NA,9,288514,0,"africa:rwa",NA,"kmccarthy",NA,288488
NA,"dji",NA,NA,9,288595,0,"africa:dji",NA,"kmccarthy",NA,288488
NA,"mas",NA,NA,9,288509,0,"africa:mas",NA,"kmccarthy",NA,288488
NA,"nie",NA,NA,9,288513,0,"africa:nie",NA,"kmccarthy",NA,288488
NA,"nig",NA,NA,9,288729,0,"africa:nig",NA,"kmccarthy",NA,288488
NA,"sil",NA,NA,9,288657,0,"africa:sil",NA,"kmccarthy",NA,288488
NA,"uga",NA,NA,9,288733,0,"africa:uga",NA,"kmccarthy",NA,288488
NA,"zim",NA,NA,9,288626,0,"africa:zim",NA,"kmccarthy",NA,288488
NA,"alg",NA,NA,9,288700,0,"africa:alg",NA,"kmccarthy",NA,288488
NA,"cod",NA,NA,9,288528,0,"africa:cod",NA,"kmccarthy",NA,288488
NA,"ang",NA,NA,9,288499,0,"africa:ang",NA,"kmccarthy",NA,288488
NA,"ben",NA,NA,9,288530,0,"africa:ben",NA,"kmccarthy",NA,288488
NA,"bfa",NA,NA,9,288732,0,"africa:bfa",NA,"kmccarthy",NA,288488
NA,"bot",NA,NA,9,288653,0,"africa:bot",NA,"kmccarthy",NA,288488
NA,"cae",NA,NA,9,288547,0,"africa:cae",NA,"kmccarthy",NA,288488
NA,"caf",NA,NA,9,288537,0,"africa:caf",NA,"kmccarthy",NA,288488
NA,"cav",NA,NA,9,288539,0,"africa:cav",NA,"kmccarthy",NA,288488
NA,"cha",NA,NA,9,288545,0,"africa:cha",NA,"kmccarthy",NA,288488
NA,"cng",NA,NA,9,288663,0,"africa:cng",NA,"kmccarthy",NA,288488
NA,"com",NA,NA,9,288664,0,"africa:com",NA,"kmccarthy",NA,288488
NA,"eqg",NA,NA,9,288701,0,"africa:eqg",NA,"kmccarthy",NA,288488
NA,"eri",NA,NA,9,288557,0,"africa:eri",NA,"kmccarthy",NA,288488
NA,"eth",NA,NA,9,288551,0,"africa:eth",NA,"kmccarthy",NA,288488
NA,"gab",NA,NA,9,288563,0,"africa:gab",NA,"kmccarthy",NA,288488
NA,"gam",NA,NA,9,288714,0,"africa:gam",NA,"kmccarthy",NA,288488
NA,"gha",NA,NA,9,288565,0,"africa:gha",NA,"kmccarthy",NA,288488
NA,"gub",NA,NA,9,288507,0,"africa:gub",NA,"kmccarthy",NA,288488
NA,"gui",NA,NA,9,288571,0,"africa:gui",NA,"kmccarthy",NA,288488
NA,"ivc",NA,NA,9,288708,0,"africa:ivc",NA,"kmccarthy",NA,288488
NA,"ken",NA,NA,9,288726,0,"africa:ken",NA,"kmccarthy",NA,288488
NA,"lib",NA,NA,9,288629,0,"africa:lib",NA,"kmccarthy",NA,288488
NA,"mad",NA,NA,9,288618,0,"africa:mad",NA,"kmccarthy",NA,288488
NA,"mai",NA,NA,9,288719,0,"africa:mai",NA,"kmccarthy",NA,288488
NA,"mal",NA,NA,9,288590,0,"africa:mal",NA,"kmccarthy",NA,288488
NA,"mau",NA,NA,9,288512,0,"africa:mau",NA,"kmccarthy",NA,288488
NA,"moz",NA,NA,9,288597,0,"africa:moz",NA,"kmccarthy",NA,288488
NA,"nam",NA,NA,9,288678,0,"africa:nam",NA,"kmccarthy",NA,288488
NA,"sen",NA,NA,9,288622,0,"africa:sen",NA,"kmccarthy",NA,288488
NA,"sey",NA,NA,9,288516,0,"africa:sey",NA,"kmccarthy",NA,288488
NA,"soa",NA,NA,9,288677,0,"africa:soa",NA,"kmccarthy",NA,288488
