id,alias,valid_from_date,valid_to_date,nameset_id,hierarchy_name_id,admin_level,alias_dot_name,last_upddate,last_userid,message
,Asia,1/1/1990,12/31/9999,4,243398,-1,Asia,11/3/2015,NA\kmccarthy,
503,Pakistan,1/1/1990,12/31/9999,4,243405,0,Asia:Pakistan,9/26/2013,NA\dharding,
1226,PK,1/1/1990,12/31/9999,4,243405,0,Asia:PK,9/26/2013,NA\dharding,
1949,PAK,1/1/1990,12/31/9999,4,243405,0,Asia:PAK,9/26/2013,NA\dharding,
9359,AJK,1/1/1990,12/31/9999,4,243406,1,Asia:Pakistan:AJK,9/26/2013,NA\dharding,
9360,BALOCHISTAN,1/1/1990,12/31/9999,4,243407,1,Asia:Pakistan:BALOCHISTAN,9/26/2013,NA\dharding,
9361,ISLAMABAD,1/1/1990,12/31/9999,4,243408,1,Asia:Pakistan:ISLAMABAD,9/26/2013,NA\dharding,
9362,GB,1/1/1990,12/31/9999,4,243409,1,Asia:Pakistan:GB,9/26/2013,NA\dharding,
9363,PUNJAB,1/1/1990,12/31/9999,4,243410,1,Asia:Pakistan:PUNJAB,9/26/2013,NA\dharding,
9364,SINDH,1/1/1990,12/31/9999,4,243411,1,Asia:Pakistan:SINDH,9/26/2013,NA\dharding,
9365,KP,1/1/1990,12/31/9999,4,243412,1,Asia:Pakistan:KP,9/26/2013,NA\dharding,
9366,FATA,1/1/1990,12/31/9999,4,243413,1,Asia:Pakistan:FATA,9/26/2013,NA\dharding,
53697,KHIKORANGI,1/1/1990,12/31/9999,4,243479,2,Asia:Pakistan:SINDH:KHIKORANGI,9/26/2013,NA\dharding,
53698,KHILANDHI,1/1/1990,12/31/9999,4,243480,2,Asia:Pakistan:SINDH:KHILANDHI,9/26/2013,NA\dharding,
53699,KHILIAQAT,1/1/1990,12/31/9999,4,243481,2,Asia:Pakistan:SINDH:KHILIAQAT,9/26/2013,NA\dharding,
53586,Poonch,1/1/1990,12/31/9999,4,243548,2,Asia:Pakistan:AJK:Poonch,9/26/2013,NA\dharding,
53590,Sudnuti,1/1/1990,12/31/9999,4,243552,2,Asia:Pakistan:AJK:Sudnuti,9/26/2013,NA\dharding,
53591,Neelum,1/1/1990,12/31/9999,4,243553,2,Asia:Pakistan:AJK:Neelum,9/26/2013,NA\dharding,
53593,Quetta,1/1/1990,12/31/9999,4,243515,2,Asia:Pakistan:BALOCHISTAN:Quetta,9/26/2013,NA\dharding,
53595,Chaghai,1/1/1990,12/31/9999,4,243517,2,Asia:Pakistan:BALOCHISTAN:Chaghai,9/26/2013,NA\dharding,
53596,Kabdulah,1/1/1990,12/31/9999,4,243518,2,Asia:Pakistan:BALOCHISTAN:Kabdulah,9/26/2013,NA\dharding,
53602,Ksaifulah,1/1/1990,12/31/9999,4,243524,2,Asia:Pakistan:BALOCHISTAN:Ksaifulah,9/26/2013,NA\dharding,
53603,Sharani,1/1/1990,12/31/9999,4,243525,2,Asia:Pakistan:BALOCHISTAN:Sharani,9/26/2013,NA\dharding,
53608,DBugti,1/1/1990,12/31/9999,4,243530,2,Asia:Pakistan:BALOCHISTAN:DBugti,9/26/2013,NA\dharding,
53609,Nsirabad,1/1/1990,12/31/9999,4,243531,2,Asia:Pakistan:BALOCHISTAN:Nsirabad,9/26/2013,NA\dharding,
53610,Bolan,1/1/1990,12/31/9999,4,243532,2,Asia:Pakistan:BALOCHISTAN:Bolan,9/26/2013,NA\dharding,
53611,Jafarabad,1/1/1990,12/31/9999,4,243533,2,Asia:Pakistan:BALOCHISTAN:Jafarabad,9/26/2013,NA\dharding,
53612,Jhalmagsi,1/1/1990,12/31/9999,4,243534,2,Asia:Pakistan:BALOCHISTAN:Jhalmagsi,9/26/2013,NA\dharding,
53617,Lasbela,1/1/1990,12/31/9999,4,243539,2,Asia:Pakistan:BALOCHISTAN:Lasbela,9/26/2013,NA\dharding,
53621,Gwadur,1/1/1990,12/31/9999,4,243543,2,Asia:Pakistan:BALOCHISTAN:Gwadur,9/26/2013,NA\dharding,
53622,Panjgour,1/1/1990,12/31/9999,4,243544,2,Asia:Pakistan:BALOCHISTAN:Panjgour,9/26/2013,NA\dharding,
53626,Diamir,1/1/1990,12/31/9999,4,243557,2,Asia:Pakistan:GB:Diamir,9/26/2013,NA\dharding,
53627,Ghizer,1/1/1990,12/31/9999,4,243558,2,Asia:Pakistan:GB:Ghizer,9/26/2013,NA\dharding,
53628,Ghanche,1/1/1990,12/31/9999,4,243559,2,Asia:Pakistan:GB:Ghanche,9/26/2013,NA\dharding,
53631,Hunzanagar,1/1/1990,12/31/9999,4,243561,2,Asia:Pakistan:GB:Hunzanagar,9/26/2013,NA\dharding,
53636,Gujranwala,1/1/1990,12/31/9999,4,243418,2,Asia:Pakistan:PUNJAB:Gujranwala,9/26/2013,NA\dharding,
53642,Lahore,1/1/1990,12/31/9999,4,243424,2,Asia:Pakistan:PUNJAB:Lahore,9/26/2013,NA\dharding,
53651,Faisalabad,1/1/1990,12/31/9999,4,243433,2,Asia:Pakistan:PUNJAB:Faisalabad,9/26/2013,NA\dharding,
53652,Ttsingh,1/1/1990,12/31/9999,4,243434,2,Asia:Pakistan:PUNJAB:Ttsingh,9/26/2013,NA\dharding,
53655,Multan,1/1/1990,12/31/9999,4,243437,2,Asia:Pakistan:PUNJAB:Multan,9/26/2013,NA\dharding,
53660,Pakpatten,1/1/1990,12/31/9999,4,243442,2,Asia:Pakistan:PUNJAB:Pakpatten,9/26/2013,NA\dharding,
53663,Bahwlnagar,1/1/1990,12/31/9999,4,243445,2,Asia:Pakistan:PUNJAB:Bahwlnagar,9/26/2013,NA\dharding,
53666,Muzfargarh,1/1/1990,12/31/9999,4,243448,2,Asia:Pakistan:PUNJAB:Muzfargarh,9/26/2013,NA\dharding,
53667,Layyah,1/1/1990,12/31/9999,4,243449,2,Asia:Pakistan:PUNJAB:Layyah,9/26/2013,NA\dharding,
53668,KHIKAMARI,1/1/1990,12/31/9999,4,243450,2,Asia:Pakistan:SINDH:KHIKAMARI,9/26/2013,NA\dharding,
53669,Hyderabad,1/1/1990,12/31/9999,4,243451,2,Asia:Pakistan:SINDH:Hyderabad,9/26/2013,NA\dharding,
53673,Jamshoro,1/1/1990,12/31/9999,4,243455,2,Asia:Pakistan:SINDH:Jamshoro,9/26/2013,NA\dharding,
53675,T.Allahyar,1/1/1990,12/31/9999,4,243457,2,Asia:Pakistan:SINDH:T.Allahyar,9/26/2013,NA\dharding,
53679,Tharparkar,1/1/1990,12/31/9999,4,243461,2,Asia:Pakistan:SINDH:Tharparkar,9/26/2013,NA\dharding,
53680,Umerkot,1/1/1990,12/31/9999,4,243462,2,Asia:Pakistan:SINDH:Umerkot,9/26/2013,NA\dharding,
53684,Sbenazirabad,1/1/1990,12/31/9999,4,243466,2,Asia:Pakistan:SINDH:Sbenazirabad,9/26/2013,NA\dharding,
53685,Nferoz,1/1/1990,12/31/9999,4,243467,2,Asia:Pakistan:SINDH:Nferoz,9/26/2013,NA\dharding,
53691,KHIBALDIA,1/1/1990,12/31/9999,4,243473,2,Asia:Pakistan:SINDH:KHIBALDIA,9/26/2013,NA\dharding,
53692,KHIBINQASIM,1/1/1990,12/31/9999,4,243474,2,Asia:Pakistan:SINDH:KHIBINQASIM,9/26/2013,NA\dharding,
53693,KHIGADAP,1/1/1990,12/31/9999,4,243475,2,Asia:Pakistan:SINDH:KHIGADAP,9/26/2013,NA\dharding,
53694,KHIGULBERG,1/1/1990,12/31/9999,4,243476,2,Asia:Pakistan:SINDH:KHIGULBERG,9/26/2013,NA\dharding,
53695,KHIGIQBAL,1/1/1990,12/31/9999,4,243477,2,Asia:Pakistan:SINDH:KHIGIQBAL,9/26/2013,NA\dharding,
53696,KHIJAMSHEED,1/1/1990,12/31/9999,4,243478,2,Asia:Pakistan:SINDH:KHIJAMSHEED,9/26/2013,NA\dharding,
53700,KHILAYARI,1/1/1990,12/31/9999,4,243482,2,Asia:Pakistan:SINDH:KHILAYARI,9/26/2013,NA\dharding,
53701,KHIMALIR,1/1/1990,12/31/9999,4,243483,2,Asia:Pakistan:SINDH:KHIMALIR,9/26/2013,NA\dharding,
53702,KHINORTH,1/1/1990,12/31/9999,4,243484,2,Asia:Pakistan:SINDH:KHINORTH,9/26/2013,NA\dharding,
53703,KHINNAZIM,1/1/1990,12/31/9999,4,243485,2,Asia:Pakistan:SINDH:KHINNAZIM,9/26/2013,NA\dharding,
53704,KHIORANGI,1/1/1990,12/31/9999,4,243486,2,Asia:Pakistan:SINDH:KHIORANGI,9/26/2013,NA\dharding,
53705,KHISHAHFAISAL,1/1/1990,12/31/9999,4,243487,2,Asia:Pakistan:SINDH:KHISHAHFAISAL,9/26/2013,NA\dharding,
53706,KHISADDAR,1/1/1990,12/31/9999,4,243488,2,Asia:Pakistan:SINDH:KHISADDAR,9/26/2013,NA\dharding,
53707,KHISITE,1/1/1990,12/31/9999,4,243489,2,Asia:Pakistan:SINDH:KHISITE,9/26/2013,NA\dharding,
53708,Abotabad,1/1/1990,12/31/9999,4,243490,2,Asia:Pakistan:KP:Abotabad,9/26/2013,NA\dharding,
53711,Kohistan,1/1/1990,12/31/9999,4,243493,2,Asia:Pakistan:KP:Kohistan,9/26/2013,NA\dharding,
53714,Malakand,1/1/1990,12/31/9999,4,243496,2,Asia:Pakistan:KP:Malakand,9/26/2013,NA\dharding,
53716,Bunir,1/1/1990,12/31/9999,4,243498,2,Asia:Pakistan:KP:Bunir,9/26/2013,NA\dharding,
53717,Dirlower,1/1/1990,12/31/9999,4,243499,2,Asia:Pakistan:KP:Dirlower,9/26/2013,NA\dharding,
53719,Dirupper,1/1/1990,12/31/9999,4,243501,2,Asia:Pakistan:KP:Dirupper,9/26/2013,NA\dharding,
53720,Shangla,1/1/1990,12/31/9999,4,243502,2,Asia:Pakistan:KP:Shangla,9/26/2013,NA\dharding,
53731,Lakkimrwt,1/1/1990,12/31/9999,4,243513,2,Asia:Pakistan:KP:Lakkimrwt,9/26/2013,NA\dharding,
53733,Bajour,1/1/1990,12/31/9999,4,243564,2,Asia:Pakistan:FATA:Bajour,9/26/2013,NA\dharding,
53734,Khyber,1/1/1990,12/31/9999,4,243565,2,Asia:Pakistan:FATA:Khyber,9/26/2013,NA\dharding,
