id,hid,hid_level,parentid,name,dot_name,valid_from,valid_to,country_continent_id,admin_district_id,is_disputed,recognized_owner,ansii_name,figure_class_id,shape_type_id,hierarchy_name_set_id,comment,hid_alt,hid_alt_level,hid_local,hid_local_level
243396,root.243396,1,1,EMEDNames,EMEDNames,1990-01-01,9999-12-31,,,f,t,EMEDNames,,,4,,,,,
243398,root.243396.243398,2,243396,Asia,Asia,1990-01-01,9999-12-31,991,991,f,t,ASIA,1,66,4,,,,,
243399,root.243396.243399,2,243396,Australia,Australia,1990-01-01,9999-12-31,992,992,f,t,AUSTRALIA,1,66,4,,,,,
243400,root.243396.243400,2,243396,North America,North America,1990-01-01,9999-12-31,993,993,f,t,NORTH AMERICA,1,66,4,,,,,
243401,root.243396.243401,2,243396,Oceania,Oceania,1990-01-01,9999-12-31,994,994,f,t,OCEANIA,1,66,4,,,,,
243402,root.243396.243402,2,243396,South America,South America,1990-01-01,9999-12-31,995,995,f,t,SOUTH AMERICA,1,66,4,,,,,
243403,root.243396.243403,2,243396,Antarctica,Antarctica,1990-01-01,9999-12-31,996,996,f,t,ANTARCTICA,1,66,4,,,,,
243404,root.243396.243404,2,243396,Europe,Europe,1990-01-01,9999-12-31,997,997,f,t,EUROPE,1,66,4,,,,,
243397,root.243396.243397,2,243396,Africa,Africa,1990-01-01,9999-12-31,990,990,f,t,AFRICA,1,66,4,,,,,
243405,root.243396.243398.243405,3,243398,Pakistan,Asia:Pakistan,1990-01-01,9999-12-31,586,,f,t,PAKISTAN,1,68,4,Shape files provided by Pakistan,,,,
243406,root.243396.243398.243405.243406,4,243405,AJK,Asia:Pakistan:AJK,1990-01-01,9999-12-31,586,5,f,t,AJK,1,68,4,Shape files provided by Pakistan,,,,
243407,root.243396.243398.243405.243407,4,243405,BALOCHISTAN,Asia:Pakistan:BALOCHISTAN,1990-01-01,9999-12-31,586,4,f,t,BALOCHISTAN,1,68,4,Shape files provided by Pakistan,,,,
243408,root.243396.243398.243405.243408,4,243405,ISLAMABAD,Asia:Pakistan:ISLAMABAD,1990-01-01,9999-12-31,586,7,f,t,ISLAMABAD,1,68,4,Shape files provided by Pakistan,,,,
243409,root.243396.243398.243405.243409,4,243405,GB,Asia:Pakistan:GB,1990-01-01,9999-12-31,586,6,f,t,GB,1,68,4,Shape files provided by Pakistan,,,,
243410,root.243396.243398.243405.243410,4,243405,PUNJAB,Asia:Pakistan:PUNJAB,1990-01-01,9999-12-31,586,1,f,t,PUNJAB,1,68,4,Shape files provided by Pakistan,,,,
243411,root.243396.243398.243405.243411,4,243405,SINDH,Asia:Pakistan:SINDH,1990-01-01,9999-12-31,586,2,f,t,SINDH,1,68,4,Shape files provided by Pakistan,,,,
243412,root.243396.243398.243405.243412,4,243405,KP,Asia:Pakistan:KP,1990-01-01,9999-12-31,586,3,f,t,KP,1,68,4,Shape files provided by Pakistan,,,,
243413,root.243396.243398.243405.243413,4,243405,FATA,Asia:Pakistan:FATA,1990-01-01,9999-12-31,586,8,f,t,FATA,1,68,4,Shape files provided by Pakistan,,,,
243562,root.243396.243398.243405.243408.243562,5,243408,CDA,Asia:Pakistan:ISLAMABAD:CDA,1990-01-01,9999-12-31,586,701,f,t,CDA,1,68,4,Shape files provided by Pakistan,,,,
243563,root.243396.243398.243405.243408.243563,5,243408,ICT,Asia:Pakistan:ISLAMABAD:ICT,1990-01-01,9999-12-31,586,702,f,t,ICT,1,68,4,Shape files provided by Pakistan,,,,
243558,root.243396.243398.243405.243409.243558,5,243409,Ghizer,Asia:Pakistan:GB:Ghizer,1990-01-01,9999-12-31,586,641,f,t,GHIZER,1,68,4,Shape files provided by Pakistan,,,,
243556,root.243396.243398.243405.243409.243556,5,243409,Skardu,Asia:Pakistan:GB:Skardu,1990-01-01,9999-12-31,586,621,f,t,SKARDU,1,68,4,Shape files provided by Pakistan,,,,
243557,root.243396.243398.243405.243409.243557,5,243409,Diamir,Asia:Pakistan:GB:Diamir,1990-01-01,9999-12-31,586,631,f,t,DIAMIR,1,68,4,Shape files provided by Pakistan,,,,
243559,root.243396.243398.243405.243409.243559,5,243409,Ghanche,Asia:Pakistan:GB:Ghanche,1990-01-01,9999-12-31,586,651,f,t,GHANCHE,1,68,4,Shape files provided by Pakistan,,,,
243560,root.243396.243398.243405.243409.243560,5,243409,Astore,Asia:Pakistan:GB:Astore,1990-01-01,9999-12-31,586,661,f,t,ASTORE,1,68,4,Shape files provided by Pakistan,,,,
243555,root.243396.243398.243405.243409.243555,5,243409,Gilgit,Asia:Pakistan:GB:Gilgit,1990-01-01,9999-12-31,586,611,f,t,GILGIT,1,68,4,Shape files provided by Pakistan,,,,
243561,root.243396.243398.243405.243409.243561,5,243409,Hunzanagar,Asia:Pakistan:GB:Hunzanagar,1990-01-01,9999-12-31,586,671,f,t,HUNZANAGAR,1,68,4,Shape files provided by Pakistan,,,,
243450,root.243396.243398.243405.243411.243450,5,243411,KHIKAMARI,Asia:Pakistan:SINDH:KHIKAMARI,1990-01-01,9999-12-31,586,212,f,t,KAMARI,1,68,4,Shape files provided by Pakistan,,,,
243451,root.243396.243398.243405.243411.243451,5,243411,Hyderabad,Asia:Pakistan:SINDH:Hyderabad,1990-01-01,9999-12-31,586,221,f,t,HYDERABAD,1,68,4,Shape files provided by Pakistan,,,,
243452,root.243396.243398.243405.243411.243452,5,243411,Thatta,Asia:Pakistan:SINDH:Thatta,1990-01-01,9999-12-31,586,222,f,t,THATTA,1,68,4,Shape files provided by Pakistan,,,,
243453,root.243396.243398.243405.243411.243453,5,243411,Badin,Asia:Pakistan:SINDH:Badin,1990-01-01,9999-12-31,586,223,f,t,BADIN,1,68,4,Shape files provided by Pakistan,,,,
243454,root.243396.243398.243405.243411.243454,5,243411,Dadu,Asia:Pakistan:SINDH:Dadu,1990-01-01,9999-12-31,586,224,f,t,DADU,1,68,4,Shape files provided by Pakistan,,,,
243455,root.243396.243398.243405.243411.243455,5,243411,Jamshoro,Asia:Pakistan:SINDH:Jamshoro,1990-01-01,9999-12-31,586,225,f,t,JAMSHORO,1,68,4,Shape files provided by Pakistan,,,,
243456,root.243396.243398.243405.243411.243456,5,243411,TMKhan,Asia:Pakistan:SINDH:TMKhan,1990-01-01,9999-12-31,586,226,f,t,TMKHAN,1,68,4,Shape files provided by Pakistan,,,,
243457,root.243396.243398.243405.243411.243457,5,243411,T.Allahyar,Asia:Pakistan:SINDH:T.Allahyar,1990-01-01,9999-12-31,586,227,f,t,T.ALLAHYAR,1,68,4,Shape files provided by Pakistan,,,,
243458,root.243396.243398.243405.243411.243458,5,243411,Matiari,Asia:Pakistan:SINDH:Matiari,1990-01-01,9999-12-31,586,228,f,t,MATIARI,1,68,4,Shape files provided by Pakistan,,,,
243459,root.243396.243398.243405.243411.243459,5,243411,Mirpurkhas,Asia:Pakistan:SINDH:Mirpurkhas,1990-01-01,9999-12-31,586,231,f,t,MIRPURKHAS,1,68,4,Shape files provided by Pakistan,,,,
243460,root.243396.243398.243405.243411.243460,5,243411,Sanghar,Asia:Pakistan:SINDH:Sanghar,1990-01-01,9999-12-31,586,232,f,t,SANGHAR,1,68,4,Shape files provided by Pakistan,,,,
243461,root.243396.243398.243405.243411.243461,5,243411,Tharparkar,Asia:Pakistan:SINDH:Tharparkar,1990-01-01,9999-12-31,586,233,f,t,THARPARKAR,1,68,4,Shape files provided by Pakistan,,,,
243462,root.243396.243398.243405.243411.243462,5,243411,Umerkot,Asia:Pakistan:SINDH:Umerkot,1990-01-01,9999-12-31,586,234,f,t,UMERKOT,1,68,4,Shape files provided by Pakistan,,,,
243463,root.243396.243398.243405.243411.243463,5,243411,Sukkur,Asia:Pakistan:SINDH:Sukkur,1990-01-01,9999-12-31,586,241,f,t,SUKKUR,1,68,4,Shape files provided by Pakistan,,,,
243464,root.243396.243398.243405.243411.243464,5,243411,Ghotki,Asia:Pakistan:SINDH:Ghotki,1990-01-01,9999-12-31,586,242,f,t,GHOTKI,1,68,4,Shape files provided by Pakistan,,,,
243465,root.243396.243398.243405.243411.243465,5,243411,Khairpur,Asia:Pakistan:SINDH:Khairpur,1990-01-01,9999-12-31,586,243,f,t,KHAIRPUR,1,68,4,Shape files provided by Pakistan,,,,
243466,root.243396.243398.243405.243411.243466,5,243411,Sbenazirabad,Asia:Pakistan:SINDH:Sbenazirabad,1990-01-01,9999-12-31,586,244,f,t,SBENAZIRABAD,1,68,4,Shape files provided by Pakistan,,,,
243467,root.243396.243398.243405.243411.243467,5,243411,Nferoz,Asia:Pakistan:SINDH:Nferoz,1990-01-01,9999-12-31,586,245,f,t,NFEROZ,1,68,4,Shape files provided by Pakistan,,,,
243468,root.243396.243398.243405.243411.243468,5,243411,Larkana,Asia:Pakistan:SINDH:Larkana,1990-01-01,9999-12-31,586,251,f,t,LARKANA,1,68,4,Shape files provided by Pakistan,,,,
243469,root.243396.243398.243405.243411.243469,5,243411,Shikarpur,Asia:Pakistan:SINDH:Shikarpur,1990-01-01,9999-12-31,586,252,f,t,SHIKARPUR,1,68,4,Shape files provided by Pakistan,,,,
243470,root.243396.243398.243405.243411.243470,5,243411,Jacobabad,Asia:Pakistan:SINDH:Jacobabad,1990-01-01,9999-12-31,586,253,f,t,JACOBABAD,1,68,4,Shape files provided by Pakistan,,,,
243471,root.243396.243398.243405.243411.243471,5,243411,Kashmore,Asia:Pakistan:SINDH:Kashmore,1990-01-01,9999-12-31,586,254,f,t,KASHMORE,1,68,4,Shape files provided by Pakistan,,,,
243472,root.243396.243398.243405.243411.243472,5,243411,Kambar,Asia:Pakistan:SINDH:Kambar,1990-01-01,9999-12-31,586,255,f,t,KAMBAR,1,68,4,Shape files provided by Pakistan,,,,
243473,root.243396.243398.243405.243411.243473,5,243411,KHIBALDIA,Asia:Pakistan:SINDH:KHIBALDIA,1990-01-01,9999-12-31,586,261,f,t,BALDIA,1,68,4,Shape files provided by Pakistan,,,,
243474,root.243396.243398.243405.243411.243474,5,243411,KHIBINQASIM,Asia:Pakistan:SINDH:KHIBINQASIM,1990-01-01,9999-12-31,586,262,f,t,BINQASIM,1,68,4,Shape files provided by Pakistan,,,,
243475,root.243396.243398.243405.243411.243475,5,243411,KHIGADAP,Asia:Pakistan:SINDH:KHIGADAP,1990-01-01,9999-12-31,586,263,f,t,GADAP,1,68,4,Shape files provided by Pakistan,,,,
243476,root.243396.243398.243405.243411.243476,5,243411,KHIGULBERG,Asia:Pakistan:SINDH:KHIGULBERG,1990-01-01,9999-12-31,586,264,f,t,KHIGULBERG,1,68,4,Shape files provided by Pakistan,,,,
243477,root.243396.243398.243405.243411.243477,5,243411,KHIGIQBAL,Asia:Pakistan:SINDH:KHIGIQBAL,1990-01-01,9999-12-31,586,265,f,t,GIQBAL,1,68,4,Shape files provided by Pakistan,,,,
243478,root.243396.243398.243405.243411.243478,5,243411,KHIJAMSHEED,Asia:Pakistan:SINDH:KHIJAMSHEED,1990-01-01,9999-12-31,586,266,f,t,JAMSHEED,1,68,4,Shape files provided by Pakistan,,,,
243479,root.243396.243398.243405.243411.243479,5,243411,KHIKORANGI,Asia:Pakistan:SINDH:KHIKORANGI,1990-01-01,9999-12-31,586,268,f,t,KHIKORANGI,1,68,4,Shape files provided by Pakistan,,,,
243480,root.243396.243398.243405.243411.243480,5,243411,KHILANDHI,Asia:Pakistan:SINDH:KHILANDHI,1990-01-01,9999-12-31,586,269,f,t,LANDHI,1,68,4,Shape files provided by Pakistan,,,,
243481,root.243396.243398.243405.243411.243481,5,243411,KHILIAQAT,Asia:Pakistan:SINDH:KHILIAQAT,1990-01-01,9999-12-31,586,270,f,t,LIAQAT,1,68,4,Shape files provided by Pakistan,,,,
243482,root.243396.243398.243405.243411.243482,5,243411,KHILAYARI,Asia:Pakistan:SINDH:KHILAYARI,1990-01-01,9999-12-31,586,271,f,t,LAYARI,1,68,4,Shape files provided by Pakistan,,,,
243483,root.243396.243398.243405.243411.243483,5,243411,KHIMALIR,Asia:Pakistan:SINDH:KHIMALIR,1990-01-01,9999-12-31,586,272,f,t,MALIR,1,68,4,Shape files provided by Pakistan,,,,
243484,root.243396.243398.243405.243411.243484,5,243411,KHINORTH,Asia:Pakistan:SINDH:KHINORTH,1990-01-01,9999-12-31,586,273,f,t,KHINORTH,1,68,4,Shape files provided by Pakistan,,,,
243485,root.243396.243398.243405.243411.243485,5,243411,KHINNAZIM,Asia:Pakistan:SINDH:KHINNAZIM,1990-01-01,9999-12-31,586,274,f,t,NNAZIM,1,68,4,Shape files provided by Pakistan,,,,
243486,root.243396.243398.243405.243411.243486,5,243411,KHIORANGI,Asia:Pakistan:SINDH:KHIORANGI,1990-01-01,9999-12-31,586,275,f,t,ORANGI,1,68,4,Shape files provided by Pakistan,,,,
243487,root.243396.243398.243405.243411.243487,5,243411,KHISHAHFAISAL,Asia:Pakistan:SINDH:KHISHAHFAISAL,1990-01-01,9999-12-31,586,276,f,t,SHAH FAISAL,1,68,4,Shape files provided by Pakistan,,,,
243488,root.243396.243398.243405.243411.243488,5,243411,KHISADDAR,Asia:Pakistan:SINDH:KHISADDAR,1990-01-01,9999-12-31,586,277,f,t,SADDAR,1,68,4,Shape files provided by Pakistan,,,,
243489,root.243396.243398.243405.243411.243489,5,243411,KHISITE,Asia:Pakistan:SINDH:KHISITE,1990-01-01,9999-12-31,586,278,f,t,KHISITE,1,68,4,Shape files provided by Pakistan,,,,
243526,root.243396.243398.243405.243407.243526,5,243407,Sibi,Asia:Pakistan:BALOCHISTAN:Sibi,1990-01-01,9999-12-31,586,431,f,t,SIBI,1,68,4,Shape files provided by Pakistan,,,,
243519,root.243396.243398.243405.243407.243519,5,243407,Noshki,Asia:Pakistan:BALOCHISTAN:Noshki,1990-01-01,9999-12-31,586,415,f,t,NOSHKI,1,68,4,Shape files provided by Pakistan,,,,
243520,root.243396.243398.243405.243407.243520,5,243407,Zhob,Asia:Pakistan:BALOCHISTAN:Zhob,1990-01-01,9999-12-31,586,421,f,t,ZHOB,1,68,4,Shape files provided by Pakistan,,,,
243515,root.243396.243398.243405.243407.243515,5,243407,Quetta,Asia:Pakistan:BALOCHISTAN:Quetta,1990-01-01,9999-12-31,586,411,f,t,QUETTA,1,68,4,Shape files provided by Pakistan,,,,
243516,root.243396.243398.243405.243407.243516,5,243407,Pishin,Asia:Pakistan:BALOCHISTAN:Pishin,1990-01-01,9999-12-31,586,412,f,t,PISHIN,1,68,4,Shape files provided by Pakistan,,,,
243517,root.243396.243398.243405.243407.243517,5,243407,Chaghai,Asia:Pakistan:BALOCHISTAN:Chaghai,1990-01-01,9999-12-31,586,413,f,t,CHAGHAI,1,68,4,Shape files provided by Pakistan,,,,
243518,root.243396.243398.243405.243407.243518,5,243407,Kabdulah,Asia:Pakistan:BALOCHISTAN:Kabdulah,1990-01-01,9999-12-31,586,414,f,t,KABDULAH,1,68,4,Shape files provided by Pakistan,,,,
243521,root.243396.243398.243405.243407.243521,5,243407,Loralai,Asia:Pakistan:BALOCHISTAN:Loralai,1990-01-01,9999-12-31,586,422,f,t,LORALAI,1,68,4,Shape files provided by Pakistan,,,,
